Frame,Id,x,y
0,0,1824.356533,632.2436147
0,P,1729.407819,659.0004024
0,A,1919.305246,605.4868269
0,31,1822.133605,619.9541838
0,32,1787.889354,590.4918221
0,33,1748.265618,587.344521
0,34,1698.5,565
0,61,1828.836193,643.1174602
0,62,1831.5,668.5
0,63,1817.693534,670.9148185
0,64,1793.5,725.5
0,21,1836.915758,613.8837258
0,22,1826.472615,583.4217359
0,23,1843.828429,567.8884849
0,24,1841.5,518.5
0,51,1844.575859,640.3560417
0,52,1841,677.5
0,53,1844,706
0,54,1835,756.5
0,11,1857.993778,606.7087005
0,12,1871,587.5
0,13,1889.5,596
0,14,1916,585
0,41,1866.228387,635.1664401
0,42,1910.748378,644.01255
0,43,1936.466256,635.2185928
0,44,1975,639.5
1,0,1825.790273,631.9278655
1,P,1731.300249,658.964455
1,A,1920.280298,604.891276
1,31,1823.566884,619.7893821
1,32,1789.672937,590.3682292
1,33,1747.614411,586.9534441
1,34,1699.948689,565.215112
1,61,1830.278775,642.6450283
1,62,1834.060821,663.8923722
1,63,1816.377475,677.9042118
1,64,1793.419492,721.5735208
1,21,1838.277502,613.6960612
1,22,1829.295253,581.2485975
1,23,1845.250592,565.1633114
1,24,1841.723009,518.4070932
1,51,1845.948235,639.8167996
1,52,1842.932392,688.7296738
1,53,1844.282545,709.8156848
1,54,1835.656499,753.6413169
1,11,1858.544961,606.5976519
1,12,1873.753099,589.0962466
1,13,1896,594
1,14,1934,574.5
1,41,1867.501942,634.5512427
1,42,1911.270297,643.8660953
1,43,1935.409683,635.4097795
1,44,1972.514352,638.4214047
2,0,1825.325009,631.9815862
2,P,1730.121358,659.0139144
2,A,1920.528659,604.9492579
2,31,1823.115177,619.7799367
2,32,1789.887509,589.6083289
2,33,1747.771521,586.7649188
2,34,1699.948689,565.215112
2,61,1829.812756,642.7605439
2,62,1834.988416,664.3271831
2,63,1817.180544,678.2198584
2,64,1794.577176,722.0737665
2,21,1837.940902,613.6781569
2,22,1831.314665,580.874578
2,23,1846.971422,564.4991961
2,24,1841.702372,517.9070841
2,51,1845.595278,639.9417079
2,52,1845.961586,688.9460994
2,53,1844.914097,710.4598129
2,54,1835.435214,754.1413568
2,11,1859.079636,606.4488426
2,12,1877.873655,592.7985876
2,13,1901.407665,592.8928228
2,14,1939.663584,573.8998064
2,41,1867.30809,634.68216
2,42,1911.285008,642.9565854
2,43,1935.844674,635.7499187
2,44,1973.033194,638.29994
3,0,1825.599675,631.8571641
3,P,1727.961068,659.0549713
3,A,1923.238283,604.659357
3,31,1823.536757,619.771406
3,32,1790.454444,589.440491
3,33,1748.328615,586.7412342
3,34,1700.384222,565.4626579
3,61,1830.036403,642.5140831
3,62,1835.627818,665.7099543
3,63,1817.493497,679.1737251
3,64,1793.736047,722.5737866
3,21,1838.773612,613.6596962
3,22,1832.596966,580.7684991
3,23,1847.846057,564.7406983
3,24,1841.741989,518.4070683
3,51,1846.201779,639.6513271
3,52,1847.150615,688.9701092
3,53,1846.690976,711.7515048
3,54,1834.10686,754.6416729
3,11,1860.476616,606.402884
3,12,1882.326219,587.6587811
3,13,1905.647069,592.708405
3,14,1949.127535,566.6932339
3,41,1868.461896,634.3438873
3,42,1912.185666,643.8626489
3,43,1935.490017,635.0823915
3,44,1972.634538,638.2086035
4,0,1828.43927,631.9902292
4,P,1732.659924,658.9587939
4,A,1924.218616,605.0216646
4,31,1826.350723,619.9594067
4,32,1792.350704,590.6608989
4,33,1747.653318,586.1757865
4,34,1698.922594,565.3166534
4,61,1832.889332,642.5898269
4,62,1836.025589,666.577879
4,63,1817.615306,679.6687117
4,64,1793.867018,723.0737869
4,21,1841.290682,613.8914016
4,22,1833.841729,581.2648037
4,23,1847.955375,564.2322247
4,24,1841.789639,517.9069777
4,51,1848.763378,639.754739
4,52,1849.037365,689.0825618
4,53,1848.068904,711.979742
4,54,1836.451647,755.1418301
4,11,1862.580261,606.6893613
4,12,1887.496927,588.3385235
4,13,1911.344892,589.1355768
4,14,1955.894141,563.1511377
4,41,1870.613409,634.4924489
4,42,1913.971556,643.9311941
4,43,1936.048914,635.1339515
4,44,1973.208567,638.0748496
5,0,1829.01545,632.069588
5,P,1733.199902,659.2203629
5,A,1924.830998,604.9188131
5,31,1826.673589,619.991468
5,32,1793.606572,589.7540299
5,33,1748.757663,587.1994855
5,34,1700.384017,565.5251387
5,61,1833.247641,642.6616379
5,62,1836.894892,666.8691936
5,63,1818.384031,679.817416
5,64,1793.477428,722.5738591
5,21,1841.626013,613.8999927
5,22,1835.189483,581.0586641
5,23,1849.053471,564.4244974
5,24,1841.729394,518.4069756
5,51,1849.139215,639.8087583
5,52,1852.792461,689.2972502
5,53,1854.772044,712.1797513
5,54,1847.644263,756.8259935
5,11,1862.935067,606.6673656
5,12,1900,580.5
5,13,1929.5,582
5,14,1965.484042,558.645361
5,41,1871.01176,634.5192886
5,42,1914.270993,643.4635918
5,43,1935.883317,634.3678951
5,44,1972.920999,638.574885
6,0,1828.893393,632.0424815
6,P,1729.875642,659.3683527
6,A,1927.911145,604.7166104
6,31,1826.889635,619.8819543
6,32,1793.534194,589.9629837
6,33,1748.703908,586.4487812
6,34,1699.896884,565.5247977
6,61,1833.364537,642.7502262
6,62,1837.74799,667.8232679
6,63,1818.866299,680.2244854
6,64,1793.313804,724.0738333
6,21,1842.358922,613.7375969
6,22,1837.311598,580.6584923
6,23,1849.781301,563.7560689
6,24,1841.467787,517.9069698
6,51,1849.758809,639.8727648
6,52,1857.307237,688.9197392
6,53,1863.053496,711.1572775
6,54,1861.126364,758.3259452
6,11,1864.385917,606.4422548
6,12,1906.967964,584.2844295
6,13,1936.738976,578.6245819
6,14,1973.010512,555.7189922
6,41,1872.340796,634.5375603
6,42,1912.250156,640.4605495
6,43,1934.950339,634.5846742
6,44,1971.954054,639.0750878
7,0,1830.678949,632.0919664
7,P,1727.801224,658.6770981
7,A,1933.556675,605.5068348
7,31,1828.98714,620.0248344
7,32,1795.836525,589.8790719
7,33,1750.973415,586.7783421
7,34,1700.402391,565.6126679
7,61,1835.005765,642.7219308
7,62,1839.818059,668.1669873
7,63,1820.224107,679.4091166
7,64,1793.363387,722.5738339
7,21,1845.120653,614.0114665
7,22,1838.518268,581.2073333
7,23,1850.562261,565.0751784
7,24,1841.692958,519.336062
7,51,1851.999081,639.9510053
7,52,1862.216953,688.5120963
7,53,1872.185403,709.589346
7,54,1874.635728,756.8258968
7,11,1868.051492,606.8897283
7,12,1910.904951,582.2697087
7,13,1940.595542,576.2013639
7,14,1976.756046,553.1208881
7,41,1875.445802,634.7747325
7,42,1915.303227,639.4872346
7,43,1938.225994,634.5505335
7,44,1973.585765,638.5749957
8,0,1830.804214,632.0948417
8,P,1728.117025,658.6070902
8,A,1933.491403,605.5825931
8,31,1829.116467,620.0348355
8,32,1795.941886,589.9154488
8,33,1750.481591,586.4731613
8,34,1698.862241,564.7202966
8,61,1835.126612,642.7193314
8,62,1844.433869,670.5671391
8,63,1825.5,675.5
8,64,1794.950057,723.0738347
8,21,1845.220577,614.0340698
8,22,1840.688033,580.8805077
8,23,1850.587595,563.5196795
8,24,1841.437918,517.8360331
8,51,1852.089315,639.9592079
8,52,1856.959603,670.4774852
8,53,1878.866567,699.4388897
8,54,1888.126757,754.3258392
8,11,1868.109768,606.9292547
8,12,1915.118195,579.7182843
8,13,1944.857767,573.8947216
8,14,1981.347709,550.4256825
8,41,1875.493661,634.7987782
8,42,1915.115906,639.6207564
8,43,1937.873838,633.9746736
8,44,1973.203095,638.2587536
9,0,1832.789559,631.62552
9,P,1730.173009,657.5876069
9,A,1935.406109,605.663433
9,31,1831.110568,619.4170603
9,32,1797.424056,589.8713467
9,33,1751.782326,586.5356006
9,34,1699.208963,565.2205171
9,61,1837.084615,642.4068842
9,62,1842.827695,671.2017168
9,63,1823.544947,674.518364
9,64,1793.758528,722.574033
9,21,1847.203403,613.4822231
9,22,1840.602259,580.6778402
9,23,1851.364862,563.8517804
9,24,1841.485167,518.3359465
9,51,1854.030885,639.7563076
9,52,1861.454061,669.7559978
9,53,1883.878782,698.2820757
9,54,1899.509182,749.8260198
9,11,1870.074745,606.4871553
9,12,1916.069505,577.5957883
9,13,1946.018213,573.6518165
9,14,1980.743584,550.8214594
9,41,1877.414288,634.731796
9,42,1915.894964,638.2299939
9,43,1937.43668,633.7203059
9,44,1972.740263,638.2110501
10,0,1836.683416,630.9142034
10,P,1739.864614,657.5315702
10,A,1933.502218,604.2968367
10,31,1834.706009,618.8367128
10,32,1801.182649,590.9312117
10,33,1748.277675,584.7905494
10,34,1698.718722,565.0895268
10,61,1841.1159,641.5529043
10,62,1844.312583,670.529599
10,63,1824.160303,674.652317
10,64,1792.71256,723.0743047
10,21,1849.832421,612.8166735
10,22,1841.617747,580.0628859
10,23,1850.944726,564.3698675
10,24,1841.396323,517.8039704
10,51,1857.15801,638.7780352
10,52,1865.286533,674.0308082
10,53,1887.59593,697.5648131
10,54,1905.416529,747.3260731
10,11,1871.375677,605.6866867
10,12,1917.444826,576.9140857
10,13,1944.448438,571.6438206
10,14,1985.579552,547.2717116
10,41,1879.250685,633.5951504
10,42,1911,640.5
10,43,1934.04072,634.4612832
10,44,1973.247683,638.2544744
11,0,1838.857184,629.1894957
11,P,1743.238934,654.5653333
11,A,1934.475434,603.8136581
11,31,1836.953081,617.061964
11,32,1801.338049,591.2245057
11,33,1748.555997,584.1041813
11,34,1698.718722,565.0895268
11,61,1843.18443,639.9089314
11,62,1844.304759,669.0398932
11,63,1824.333706,673.9661749
11,64,1793.967954,723.074639
11,21,1851.89878,611.2323077
11,22,1840.775824,579.4431542
11,23,1852.118878,565.1966656
11,24,1841.761718,518.8039507
11,51,1859.020321,637.3431276
11,52,1866.394635,672.9457015
11,53,1889.494643,695.7046858
11,54,1907.701683,745.3258552
11,11,1873.178834,604.3763299
11,12,1919.130966,575.4172091
11,13,1945.995568,570.7006971
11,14,1986.093627,545.4701923
11,41,1880.834491,632.4454613
11,42,1910.847983,638.7929785
11,43,1933.781634,632.8740018
11,44,1972.790702,638.3390654
12,0,1839.808899,629.0506424
12,P,1741.763178,655.1557345
12,A,1937.85462,602.9455503
12,31,1837.93138,616.8408987
12,32,1803.741977,589.1445182
12,33,1751.675891,584.5804471
12,34,1702.230791,565.1920773
12,61,1844.215009,639.8218777
12,62,1844.988849,668.9641158
12,63,1825.114995,674.2740678
12,64,1793.480025,722.5746772
12,21,1853.270574,610.8825225
12,22,1842.492467,579.0391997
12,23,1853.015127,564.3296811
12,24,1841.134206,518.3036181
12,51,1860.451863,637.1464985
12,52,1868.076013,672.6963721
12,53,1893.305552,693.0691989
12,54,1913.714944,741.8258747
12,11,1875.104509,603.8539947
12,12,1920.770701,574.4460371
12,13,1947.468366,569.033905
12,14,1987.117444,543.9705357
12,41,1882.824395,632.0877688
12,42,1911.337839,638.0914808
12,43,1934.301547,632.313926
12,44,1973.201523,638.5079687
13,0,1841.306688,628.4639754
13,P,1743.717627,653.594998
13,A,1938.895749,603.3329528
13,31,1839.512812,616.2202675
13,32,1808.612797,586.7209089
13,33,1756.523061,583.1604889
13,34,1707.109399,563.692135
13,61,1845.620852,639.293379
13,62,1845.375286,669.473846
13,63,1825.626037,675.2958105
13,64,1793.2085,723.0747126
13,21,1854.79153,610.4120263
13,22,1843.806002,578.6594988
13,23,1853.61917,563.9025611
13,24,1842.024891,517.8034563
13,51,1861.772147,636.7812966
13,52,1870.535918,672.0675187
13,53,1896.926679,690.3654
13,54,1920.45933,737.3258753
13,11,1876.530765,603.5989521
13,12,1921.931136,573.7822548
13,13,1948.605594,568.2600322
13,14,1987.071843,544.470597
13,41,1884.034928,631.9459177
13,42,1911.250718,637.3395723
13,43,1934.165733,631.4592391
13,44,1972.825672,639.0079749
14,0,1841.695258,627.847512
14,P,1743.625569,652.7493086
14,A,1939.764947,602.9457154
14,31,1839.930262,615.5245582
14,32,1816.627829,583.9328115
14,33,1764.545872,580.2603373
14,34,1714.976701,561.1921449
14,61,1845.996931,638.7573342
14,62,1846.255994,669.4271172
