scorer,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData,PrismData
bodyparts,body-coxa front L,body-coxa front L,coxa-femur front L,coxa-femur front L,femur-tibia front L,femur-tibia front L,tibia-tarsus front L,tibia-tarsus front L,tarsus tip front L,tarsus tip front L,body-coxa mid L,body-coxa mid L,coxa-femur mid L,coxa-femur mid L,femur-tibia mid L,femur-tibia mid L,tibia-tarsus mid L,tibia-tarsus mid L,tarsus tip mid L,tarsus tip mid L,body-coxa back L,body-coxa back L,coxa-femur back L,coxa-femur back L,femur-tibia back L,femur-tibia back L,tibia-tarsus back L,tibia-tarsus back L,tarsus tip back L,tarsus tip back L,body-coxa front R,body-coxa front R,coxa-femur front R,coxa-femur front R,femur-tibia front R,femur-tibia front R,tibia-tarsus front R,tibia-tarsus front R,tarsus tip front R,tarsus tip front R,body-coxa mid R,body-coxa mid R,coxa-femur mid R,coxa-femur mid R,femur-tibia mid R,femur-tibia mid R,tibia-tarsus mid R,tibia-tarsus mid R,tarsus tip mid R,tarsus tip mid R,body-coxa back R,body-coxa back R,coxa-femur back R,coxa-femur back R,femur-tibia back R,femur-tibia back R,tibia-tarsus back R,tibia-tarsus back R,tarsus tip back R,tarsus tip back R
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/side_video_191125_PR_Fly1_002_prism/img0035.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/side_video_191125_PR_Fly1_002_prism/img0147.png,228.67417478909,158.4648722254075,233.87730362847077,176.91232901957574,187.99516749938567,142.38247399459416,178.06192153329505,190.62966868703418,136.43689081824877,231.78168768940947,252.79777213530997,169.81715332951103,259.41993611270374,187.7915984110083,276.448357768859,132.44922802850357,274.5563109181751,201.9819497911377,289.6926857236465,235.09276967810632,280.70546318289786,177.8583524449177,292.05774428700136,192.52171553771808,314.28929478253747,144.2745208452781,359.69841919895157,207.1850786305185,418.35187157015315,233.6737345400934,,,,,,,154.88434761241703,209.07712548120242,105.69112949463505,232.72771111475143,,,,,,,,,313.3432713571955,234.1467462527644,,,,,,,,,,
labeled-data/side_video_191125_PR_Fly1_002_prism/img0282.png,223.9440576623802,167.9251064788271,235.7693504791547,182.5884695716275,224.89008108772214,134.3412748791875,205.02358915554095,179.75039929560162,159.14145302645585,207.65809034318946,256.5818658366778,179.75039929560162,269.3531820787943,190.1566569743632,287.80063887296257,127.71911090179378,319.01941190924725,196.77882095175693,363.9555246129904,231.78168768940947,284.0165451715947,177.38534073224673,297.26087312638214,189.68364526169222,350.71119665820294,150.42367311000083,402.7424850520108,207.65809034318946,483.6274879187485,232.72771111475143,,,,,,,160.56048816446878,196.30580923908593,111.3672700466868,231.3086759767385,,,,,,,,,,,,,,,,,,,,
labeled-data/side_video_191125_PR_Fly1_002_prism/img0432.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/side_video_191125_PR_Fly1_002_prism/img0765.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/side_video_191125_PR_Fly1_002_prism/img0816.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/side_video_191125_PR_Fly1_002_prism/img0919.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/side_video_191125_PR_Fly1_002_prism/img1143.png,,,,,,,354.0222786468998,190.62966868703418,396.1203210746171,231.78168768940947,,,,,,,231.0392333524449,201.03592636579575,188.4681792120566,230.36265255139654,,,,,,,,,,,325.16856417397,151.84270824801376,308.6131542304857,178.33136415758867,364.4285363256614,158.4648722254075,381.9299696944877,202.45496150380868,432.06921123761157,229.41662912605457,293.00376771234335,164.14101277745925,275.0293226308461,176.91232901957574,267.9341469407814,141.4364505692522,245.22958473257432,206.23905520517653,208.3346711442378,230.83566426406753,,,244.75657301990333,171.23618846752396,281.6514866082398,112.10972438365141,,,,
